Años;FECHA;Provincia;Idprovincia;Promedio de TMEDIA;Promedio de TMIN;Promedio de TMAX
2009;may;a coruña;15;15,3;12;18,6
2009;jun;a coruña;15;18,4;15;21,7
2009;jul;a coruña;15;19;15,9;22,1
2009;ago;a coruña;15;19,7;16,5;22,8
2009;sep;a coruña;15;19,3;15,4;23,2
2009;oct;a coruña;15;18,4;14,9;21,9
2009;nov;a coruña;15;14,5;11,9;17,1
2009;dic;a coruña;15;10,9;8,2;13,5
2010;ene;a coruña;15;10,1;7,6;12,5
2010;feb;a coruña;15;10,2;7,2;13,3
2010;mar;a coruña;15;12;8,4;15,6
2010;abr;a coruña;15;14,7;10,9;18,4
2010;may;a coruña;15;15,6;12,3;18,9
2010;jun;a coruña;15;17,6;14,6;20,6
2010;jul;a coruña;15;19,5;16,3;22,6
2010;ago;a coruña;15;20,2;16,7;23,8
2010;sep;a coruña;15;18,8;15,1;22,5
2010;oct;a coruña;15;16,2;12,7;19,7
2010;nov;a coruña;15;12,5;9,9;15,1
2010;dic;a coruña;15;10,9;8;13,7
2011;ene;a coruña;15;11,3;8,8;13,8
2011;feb;a coruña;15;11,6;8,6;14,6
2011;mar;a coruña;15;12,6;9,1;16
2011;abr;a coruña;15;16,5;12,5;20,4
2011;may;a coruña;15;16,5;12,9;20,1
2011;jun;a coruña;15;17,9;14,2;21,4
2011;jul;a coruña;15;18,6;15,4;21,8
2011;ago;a coruña;15;19,2;15,8;22,6
2011;sep;a coruña;15;19,6;16,3;23
2011;oct;a coruña;15;17,3;13,5;21
2011;nov;a coruña;15;13,7;10,6;16,8
2011;dic;a coruña;15;11,7;9,2;14,3
2012;ene;a coruña;15;10,6;7,6;13,6
2012;feb;a coruña;15;9,5;6,1;12,9
2012;mar;a coruña;15;13,4;9,1;17,7
2012;abr;a coruña;15;11,6;9;14,3
2012;may;a coruña;15;16,3;12,7;20
2012;jun;a coruña;15;17,9;14,5;21,3
2012;jul;a coruña;15;18,8;15,7;21,9
2012;ago;a coruña;15;20,3;16,8;23,9
2012;sep;a coruña;15;19,4;15,4;23,3
2012;oct;a coruña;15;16,5;13,1;19,8
2012;nov;a coruña;15;12,4;9,5;15,4
2012;dic;a coruña;15;12,4;10,1;14,7
2013;ene;a coruña;15;11,4;8,6;14,2
2013;feb;a coruña;15;10,7;8,1;13,3
2013;mar;a coruña;15;11,9;9,1;14,8
2013;abr;a coruña;15;13;9,8;16,1
2013;may;a coruña;15;13,2;10,2;16,2
2013;jun;a coruña;15;16,4;13,3;19,5
2013;jul;a coruña;15;20,4;16,6;24,1
